"Source:","C:\Users\user\Documents\ki-cad\022 3t_CoinCell\022 3t_CoinCell.kicad_sch"
"Date:","2024-02-22 오후 3:42:55"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","3"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"BT1","1","3V","Battery_Cell","Battery:BatteryHolder_Keystone_1058_1x2032","Single-cell battery","",""
"D1","1","RED","LED","Diode_SMD:D_0603_1608Metric","Light emitting diode","",""
"R1","1","1K","R_US","Resistor_SMD:R_0603_1608Metric","Resistor, US symbol","",""
